userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Yeni Nur 123,1,2024-09-29 00:00:33,Nomor sudah benar tapi kodenya gak dikirim kirim,29,9,2024,0,0,33
indah purnama,1,2024-09-28 23:49:20,Cara log in nya bagaimana woiii Nunggu kode gak dikirim2 telepon jg gak ada sama sekalipun,28,9,2024,23,49,20
Zikrul Khaq,1,2024-09-28 23:42:55,"Loginnya susah banget,bertele tele harus lewat aplikasi telegram pula gabisa lewat SMS atau wa,hadeh hadeh udah gitu fitur login via akun google dihapus lagi kan aneh",28,9,2024,23,42,55
Cep Tedi Gunawan,1,2024-09-28 23:37:54,Apk tegram makin sini makin ribet masuknya. Code Email sudah benar salah Mulu. Kirim code via SMS gak bisa makin males buka ni app.,28,9,2024,23,37,54
Nuraisyah,1,2024-09-28 23:33:12,"tidak menerima kode verifikasi saat ingin login,sudah di coba berkali kali dan masih tetep dengan hasil yg sama😓",28,9,2024,23,33,12
Ririn Woel,1,2024-09-28 23:21:58,Solusinya gimana gaes yg log in ga bisa dapet kode otp aq udah coba beberapa kali ga bisa2 gimana caranya dong biar ada kode otp nya,28,9,2024,23,21,58
PREMIUM Ya bg,1,2024-09-28 23:19:32,Aplikasi gak jelas kenapa kode verifikasi nya gak muncul oy perbaiki lah aplikasi nya Kukasih bintang 1 karna aplikasi nya gak jelas,28,9,2024,23,19,32
Risandi budi Ariyanto,1,2024-09-28 22:52:55,"aplikasi gajelas, gabisa ngirim kode Verifikasi",28,9,2024,22,52,55
Ahmad Yasit,1,2024-09-28 22:44:40,Eror gk bisa masuk Nunggu kode dari telegram gk ada notifikasi,28,9,2024,22,44,40
Ijoel Keriting,1,2024-09-28 22:43:07,Telegram sekarang tidak bisa mencari pengguna di sekitar.,28,9,2024,22,43,7
Faz Xsts,1,2024-09-28 22:42:58,"mau buat akun aja susahnya minta ampun, mending buat kek fb lah",28,9,2024,22,42,58
Munchen City,2,2024-09-28 22:40:40,Kode OTP susah masuk. Tolong segera perbaiki secepatnya. terimakasih,28,9,2024,22,40,40
Rizky Amelia Puspito Intan,1,2024-09-28 22:24:31,"Beberapa hari TDK buku telegram,sekalinya masuk disuruh masukkan no TLP lagi seperti awal,tapi waktu confirm no kode otp prosesnya lama sekali bahkan tidak dikirim² kodenya..👎👎",28,9,2024,22,24,31
Diyah indawati Indawati,3,2024-09-28 22:24:27,Selalu di gunakan untuk kegiatan kerja,28,9,2024,22,24,27
Lima Jari,3,2024-09-28 22:16:00,"open the wallet blankly, it won't open...why?? even though there is still a balance...it's difficult to withdraw the balance",28,9,2024,22,16,0
Aditya Saputra,1,2024-09-28 22:00:04,People nearby nya kok hilang,28,9,2024,22,0,4
bram bram,1,2024-09-28 21:13:58,gabisa terima kode otp. aplikasi gaguna,28,9,2024,21,13,58
Aam Sory,3,2024-09-28 21:09:33,Ok,28,9,2024,21,9,33
Andres Jeivi Jacob,1,2024-09-28 21:02:36,"Akun telegram saya kena dibanned, padahal tidak melakukan pelanggaran sama sekali. Bisa kah di kembalikan semua tanpa kehilangan data. Terimakasih.",28,9,2024,21,2,36
